full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1871 Astyanax (1971 FF),0.1288,0.0145,0.1297,8.415528837267692,54.684553272787596,0.076,0.151,0.151,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AstyanaxSub,D,Fornasier2004
  1872 Helenos (1971 FG),0.109,0.015,0.2536,5.35970071653196,46.865088643883,0.067,0.152,0.152,?,0.75,1.515,0.535,0.190000000000001,0.114999999999998,?,?,?,5,GreaterAstyanax,Helenos,-,,
  2594 Acamas (1978 TB),0.1517,0.0731,0.1035,13.748139226781301,68.1179609388406,0.06,0.121,0.121,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,,
  3451 Mentor (1984 HA1),0.1175,0.0386,0.4087,7.22692922948363,58.947979124715395,0.044,0.077,0.035,15.9133792532861,0.733333333333334,1.44,0.523333333333333,0.176666666666666,0.046666666666666,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,X,Hasselmann2012
  4715 (1989 TS1),0.0972,0.0245,0.3238,4.88335182335783,45.954826877681896,0.06,0.134,0.129,17.4282301925856,?,?,?,?,?,?,?,?,5,GreaterAstyanax,-,-,D,Bendjoya2004
  4829 Sergestus (1988 RM1),0.1055,0.0199,0.1625,6.5806611987565,49.4981965675272,0.068,0.135,0.135,?,0.809999999999999,1.51,0.59,0.289999999999999,-0.23,?,?,?,5,GreaterAstyanax,Helenos,-,XD,Fornasier2012
  5130 Ilioneus (1989 SC7),0.1021,0.0394,0.2905,4.49784832148674,43.6747012074168,0.069,0.108,0.108,17.3658848186784,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,-,D,Fornasier2004
  5476 (1989 TO11),0.0971,0.0445,0.2397,5.15530342949796,45.515794031374206,0.099,0.198,0.198,18.5508142273924,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,-,,
  5637 Gyas (1988 RF1),0.102,0.0737,0.3866,5.917502072929209,51.357847658785104,0.056,0.112,0.112,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
  9030 (1989 UX5),0.1304,0.0596,0.0475,12.3673987592032,65.0316966352301,0.062,0.173,0.173,?,0.83,1.355,0.625,0.24,0.19,?,?,?,5,GreaterAstyanax,Astyanax,1989UX5Sub,D,Fornasier2007
 12052 Aretaon (1997 JB16),0.1049,0.0268,0.2114,4.78497809362597,43.07996531378822,0.073,0.145,0.145,18.5260443819154,?,?,?,?,?,?,?,?,5,GreaterAstyanax,-,-,,
 12242 Koon (1988 QY),0.1058,0.0262,0.5062,4.48119378229387,53.4071271963982,0.071,0.142,0.142,18.6430409386906,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 16560 Daitor (1991 VZ5),0.1343,0.0534,0.2849,13.242231409307001,70.4255840259337,0.053,0.106,0.106,18.3721175502406,0.7125,1.445,0.502500000000001,0.134999999999999,0.0625,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,C,Hasselmann2012
 17416 (1988 RR10),0.0884,0.0329,0.2853,3.9684627428968002,42.073038942714795,0.063,0.125,0.125,?,0.880000000000003,1.47,0.66,0.27,0.190000000000001,?,?,?,5,GreaterAstyanax,Mentor,1988RR10Sub,D,Fornasier2004
 17492 Hippasos (1991 XG1),0.1225,0.0379,0.46299999999999997,7.86980949210448,62.381417948590496,0.066,0.12,0.12,17.9292721434174,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,AstyanaxSub,,
 18137 (2000 OU30),0.1331,0.053,0.1446,10.5445621904791,61.3743567279888,0.068,0.136,0.136,?,0.8425,1.4425,0.630000000000001,0.2225,0.15,?,?,?,5,GreaterAstyanax,Astyanax,-,D,Fornasier2004
 23694 (1997 KZ3),0.1046,0.0149,0.1484,5.0533481632437,42.6857838454301,0.051,0.102,0.102,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,OphelestesSub,D,Fornasier2004
 24444 (2000 OP32),0.1234,0.0414,0.1446,8.38810981084544,54.9671649948585,0.105,0.21,0.21,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,-,DX,Fornasier2004
 24453 (2000 QG173),0.1089,0.0309,0.1928,5.85221423869132,46.8431073780113,0.09,0.18,0.18,?,0.809999999999999,1.23,0.590000000000003,0.27,0.09,?,?,?,5,GreaterAstyanax,Helenos,-,,
 24454 (2000 QF198),0.1479,0.0318,0.0502,14.256600368877999,71.0524611083156,0.067,0.134,0.134,?,0.719999999999999,1.59,0.510000000000002,0.170000000000002,0.039999999999999,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,CX,Hasselmann2012
 25344 (1999 RN72),0.1013,0.0209,0.326,4.1161885698408,43.8666228744963,0.075,0.149,0.149,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,-,-,,
 25883 (2000 RD88),0.0989,0.0396,0.3349,4.94305940490153,47.830437279181204,0.066,0.131,0.131,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 31344 (1998 OM12),0.1367,0.0321,0.1265,9.9297086935739,59.3274119142763,0.047,0.143,0.143,?,0.890000000000001,1.37,0.669999999999998,0.190000000000001,0.07,?,?,?,5,GreaterAstyanax,Astyanax,-,,
 31814 (1999 RW70),0.1129,0.025,0.0953,6.584303078677468,48.022326728853905,0.085,?,?,?,0.810000000000002,1.5,0.600000000000001,0.280000000000001,0.189999999999998,?,?,?,5,GreaterAstyanax,Helenos,-,,
 31819 (1999 RS150),0.1156,0.0378,0.2598,7.642039306063171,54.39051112687671,0.06,0.161,0.161,?,0.870000000000001,1.41,0.650000000000002,0.25,0.099999999999998,0.319549,0.72326,0.401701,5,GreaterAstyanax,-,-,,
 32420 (2000 RS40),0.1296,0.025,0.2672,7.889988646232378,55.521576877860696,0.103,0.205,0.205,?,0.800000000000001,1.59,0.580000000000002,0.239999999999998,-0.059999999999999,?,?,?,5,GreaterAstyanax,Astyanax,-,,
 32430 (2000 RQ83),0.1074,0.0129,0.1401,5.3726197074971695,44.1534309488541,0.157,0.313,0.313,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,OphelestesSub,D,Fornasier2004
 32615 (2001 QU277),0.1372,0.0286,0.2647,10.2005786291416,62.692499284776794,0.065,0.129,0.129,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Astyanax,-,D,Fornasier2004
 34521 (2000 SA191),0.106,0.0292,0.3033,6.08118661961123,50.3472877246191,0.058,0.116,0.116,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 34785 (2001 RG87),0.087,0.0228,0.3501,2.85211552739366,39.015921033477994,0.058,0.115,0.115,?,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,1988RR10Sub,X,Fornasier2004
 34835 (2001 SZ249),0.1331,0.0731,0.0613,11.7713928255124,62.9132323191918,0.072,?,?,?,0.794999999999998,1.475,0.584999999999999,0.255000000000001,0.235000000000001,?,?,?,5,GreaterAstyanax,Astyanax,1989UX5Sub,,
 47955 (2000 QZ73),0.1074,0.0346,0.0698,6.47613942546241,48.135008354929,0.073,?,?,?,0.82,1.57,0.600000000000001,0.299999999999997,0.120000000000001,?,?,?,5,GreaterAstyanax,Helenos,-,,
 47957 (2000 QN116),0.1026,0.0463,0.1198,5.2771293946173,43.19593765955621,0.057,0.114,0.114,?,0.740000000000002,1.42,0.539999999999999,0.280000000000001,0.059999999999999,?,?,?,5,GreaterAstyanax,Mentor,-,,
 47959 (2000 QP168),0.1073,0.0249,0.1271,6.82671573868441,49.70421247493979,0.2,0.4,0.4,?,0.770000000000001,1.36,0.550000000000001,0.245000000000001,0.09,?,?,?,5,GreaterAstyanax,Helenos,-,,
 48249 (2001 SY345),0.1408,0.0413,0.1089,11.4749495118222,63.51851266470611,0.08,0.16,0.16,?,0.833333333333333,1.52333333333333,0.616666666666668,0.193333333333333,0.133333333333333,?,?,?,5,GreaterAstyanax,Astyanax,1989UX5Sub,D,Fornasier2004
 48438 (1989 WJ2),0.1015,0.0426,0.4975,4.51043489294381,51.627916090149604,0.086,0.16,0.16,18.5821056451677,?,?,?,?,?,?,?,?,5,GreaterAstyanax,Mentor,MentorSub,,
 48604 (1995 CV),0.149,0.0573,0.1103,13.714553202058802,69.3722129500201,0.077,?,?,?,?,?,?,?,?,0.3595975,0.619834,?,5,GreaterAstyanax,Astyanax,AcamasSub,,
