full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   588 Achilles (1906 TG),2.0,8.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,?,?,?,?,?,7.0,4.0,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0367, 0.0483]",0.0367,0.0483,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0528, 0.0776]",0.0528,0.0776,"(16.202, 16.475]",16.202,16.475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.351, 0.398]",0.35100000000000003,0.398,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,GreaterAchilles,Achilles,-,,
  2148 Epeios (1976 UW),1.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,13.0,?,?,?,?,?,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0161, 0.0284]",0.0161,0.0284,"(0.119, 0.172]",0.11900000000000001,0.172,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.653, 18.925]",18.653,18.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAchilles,Epeios,-,,
  3564 Talthybius (1985 TC1),3.0,6.0,4.0,3.0,2.0,3.0,3.0,4.0,6.0,3.0,8.0,3.0,5.0,9.0,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0779, 0.0903]",0.0779,0.0903,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(16.747, 17.019]",16.747,17.019000000000002,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterAchilles,-,-,D,Hasselmann2012
  3794 Sthenelos (1985 TF3),1.0,9.0,1.0,4.0,1.0,7.0,3.0,4.0,13.0,?,?,?,?,?,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.115, 0.127]",0.115,0.127,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(1.766, 3.096]",1.766,3.096,"(8.002, 13.201]",8.002,13.200999999999999,"(0.107, 0.118]",0.107,0.118,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.653, 18.925]",18.653,18.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
  5259 Epeigeus (1989 BB1),2.0,9.0,4.0,3.0,2.0,4.0,3.0,3.0,10.0,4.0,7.0,4.0,10.0,10.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.115, 0.127]",0.115,0.127,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.836, 18.108]",17.836,18.108,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.29, 0.312]",0.29,0.312,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,D,Hasselmann2012
  5283 Pyrrhus (1989 BW),0.0,7.0,4.0,3.0,1.0,6.0,4.0,3.0,10.0,?,?,?,?,?,?,?,?,4,"(0.000442, 0.0119]",0.000442,0.0119,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,"(0.095, 0.107]",0.095,0.107,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.102, 0.127]",0.102,0.127,"(17.836, 18.108]",17.836,18.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAchilles,Epeios,-,Neg,Bendjoya2004
 11395 (1998 XN77),0.0,7.0,7.0,2.0,0.0,1.0,0.0,0.0,9.0,?,?,?,?,?,?,?,?,4,"(0.000442, 0.0119]",0.000442,0.0119,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.0367, 0.0483]",0.0367,0.0483,"(0.0557, 0.0789]",0.0557,0.0789,"(0.0276, 0.0528]",0.0276,0.0528,"(17.564, 17.836]",17.564,17.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAchilles,1991EL,-,,
 12921 (1998 WZ5),2.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,?,?,?,?,?,?,6.0,2.0,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0408, 0.0532]",0.0408,0.0532,"(0.172, 0.226]",0.172,0.226,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.309, 0.429]",0.309,0.429,-,-,-,GreaterAchilles,Epeios,-,X,Fornasier2008
 13385 (1998 XO79),2.0,6.0,4.0,3.0,2.0,3.0,3.0,4.0,?,?,?,?,?,?,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0779, 0.0903]",0.0779,0.0903,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAchilles,Epeios,-,,
 15527 (1999 YY2),0.0,13.0,6.0,4.0,0.0,3.0,3.0,4.0,14.0,?,?,?,?,?,?,?,?,4,"(0.000442, 0.0119]",0.000442,0.0119,"(0.164, 0.177]",0.16399999999999998,0.177,"(0.334, 0.387]",0.33399999999999996,0.387,"(1.766, 3.096]",1.766,3.096,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.925, 19.197]",18.925,19.197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAchilles,1991EL,-,,
