full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  8241 Agrius (1973 SE1),0.0968,0.0926,0.0734,6.654594284831821,45.19496477254889,0.087,0.174,0.174,?,0.75,1.44,0.539999999999999,0.169999999999998,0.120000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
  9590 (1991 DK1),0.1056,0.083,0.1106,7.0220971257279805,47.5735551172077,?,?,?,?,0.710000000000001,1.49,0.5,0.240000000000002,0.169999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,D,Hasselmann2012
 13184 Augeias (1996 TS49),0.0817,0.0755,0.0941,4.73061726476352,38.217805829568796,0.067,0.159,0.159,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 24539 (2001 DP5),0.0983,0.0724,0.1868,4.749530942931269,41.3460523504817,0.128,?,?,?,0.780000000000001,1.48,0.57,0.239999999999998,0.100000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 38574 (1999 WS4),0.0664,0.0768,0.1466,3.1197040639263798,31.024494992476807,0.135,0.271,0.271,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 39692 (1996 RB32),0.0674,0.0788,0.1027,3.38687838893633,30.065860528934802,0.134,?,?,?,0.77,1.16,0.549999999999997,0.170000000000002,0.16,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 42168 (2001 CT13),0.0841,0.0935,0.22,4.8413125379582596,39.7868344107437,0.136,0.271,0.271,?,0.720000000000002,1.46,0.509999999999998,0.140000000000001,0.09,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 42403 Andraimon (6844 P-L),0.105,0.0774,0.1408,5.4674234247389695,42.8469212805557,?,?,?,?,0.73,1.37,0.510000000000002,0.23,0.129999999999999,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 63259 (2001 BS81),0.0644,0.0695,0.0458,3.23994539743141,30.7539982204188,?,?,?,?,0.746666666666667,1.55,0.536666666666666,0.193333333333333,0.096666666666666,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 63286 (2001 DZ68),0.099,0.0723,0.1081,5.93981498701308,43.562855692467096,0.099,?,?,?,0.860000000000003,1.42,0.640000000000001,0.18,0.080000000000002,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
